valeur_fonciere,surface_reelle_bati,type_local,nom_commune,code_departement,latitude,longitude,prix_m2,annee
282000.0,180.0,Maison,Maisoncelles-En-Brie,77,48.85966,2.983257,1566.6666666666667,2023
224000.0,109.0,Maison,Châteaubriant,44,47.716255,-1.360969,2055.045871559633,2023
240000.0,70.0,Maison,Louvres,95,49.050007,2.505476,3428.5714285714284,2023
172400.0,91.0,Maison,Douvrin,62,50.506242,2.826406,1894.5054945054944,2023
204000.0,150.0,Maison,Sérignan-Du-Comtat,84,44.190038,4.84124,1360.0,2023
31000.0,60.0,Maison,Frise,80,49.946654,2.813342,516.6666666666666,2023
123800.0,26.0,Appartement,Saint-Raphaël,83,43.415056,6.804287,4761.538461538462,2023
365000.0,75.0,Maison,Biriatou,64,43.322619,-1.736155,4866.666666666667,2023
65000.0,17.0,Appartement,Dijon,21,47.319572,5.033999,3823.529411764706,2023
485000.0,27.0,Appartement,Marseille 1Er Arrondissement,13,43.295841,5.378948,17962.962962962964,2023
167000.0,74.0,Appartement,Chilly-Mazarin,91,48.694181,2.314584,2256.7567567567567,2023
1400000.0,90.0,Maison,Clamart,92,48.811225,2.276882,15555.555555555555,2023
360000.0,27.0,Appartement,Romorantin-Lanthenay,41,47.354888,1.759563,13333.333333333334,2023
90000.0,61.0,Appartement,Chalon-Sur-Saône,71,46.788267,4.852139,1475.4098360655737,2023
180000.0,130.0,Maison,Créances,50,49.199559,-1.557104,1384.6153846153845,2023
121500.0,35.0,Appartement,Noyal-Châtillon-Sur-Seiche,35,48.043459,-1.663984,3471.4285714285716,2023
125000.0,55.0,Appartement,Oloron-Sainte-Marie,64,43.195127,-0.606061,2272.7272727272725,2023
40000.0,38.0,Maison,Spéracèdes,06,43.648992,6.859209,1052.6315789473683,2023
143000.0,45.0,Appartement,Noyal-Châtillon-Sur-Seiche,35,48.034699,-1.662222,3177.777777777778,2023
125000.0,49.0,Appartement,Senlis,60,49.21077,2.599704,2551.0204081632655,2023
1350000.0,71.0,Appartement,Pontoise,95,49.03822,2.093387,19014.084507042255,2023
116100.0,35.0,Appartement,Cagnes-Sur-Mer,06,43.664677,7.13047,3317.1428571428573,2023
37540.0,70.0,Maison,Chaulhac,48,44.922373,3.257571,536.2857142857143,2023
502000.0,46.0,Appartement,Beauchamp,95,49.010277,2.194773,10913.04347826087,2023
176110.0,22.0,Appartement,Saint-Martin,971,18.096793,-63.028757,8005.0,2023
46100.0,42.0,Appartement,Rochefort,17,45.942181,-0.96408,1097.6190476190477,2023
42000.0,60.0,Maison,Ruffec,16,46.02778,0.206337,700.0,2023
140000.0,18.0,Appartement,Angoulême,16,45.634484,0.152169,7777.777777777777,2023
115000.0,24.0,Appartement,Le Pecq,78,48.903909,2.114469,4791.666666666667,2023
105000.0,69.0,Maison,Saint-Jean-Aux-Amognes,58,46.999154,3.314318,1521.7391304347825,2023
150000.0,60.0,Maison,Orléans,45,47.922519,1.89542,2500.0,2023
225000.0,84.0,Appartement,La Salle-Les-Alpes,05,44.943475,6.566728,2678.5714285714284,2023
100000.0,103.0,Maison,Mellé,35,48.487156,-1.187634,970.8737864077669,2023
600000.0,58.0,Appartement,Paris 15E Arrondissement,75,48.842184,2.286026,10344.827586206897,2023
265250.0,103.0,Maison,Pont-Sainte-Marie,10,48.318083,4.100821,2575.242718446602,2023
297100.0,96.0,Maison,Le Cheylas,38,45.369262,5.99252,3094.7916666666665,2023
207250.0,125.0,Maison,Chavannes-Sur-Reyssouze,01,46.431707,5.000621,1658.0,2023
372000.0,84.0,Maison,Morsang-Sur-Orge,91,48.648941,2.362837,4428.571428571428,2023
177000.0,99.0,Maison,Irai,61,48.662074,0.682384,1787.878787878788,2023
185500.0,60.0,Appartement,Goussainville,95,49.032248,2.467685,3091.6666666666665,2023
113650.0,43.0,Appartement,Dijon,21,47.311226,5.039821,2643.0232558139537,2023
98000.0,37.0,Appartement,Marseille 4E Arrondissement,13,43.307307,5.403058,2648.6486486486488,2023
198000.0,27.0,Appartement,Paris 18E Arrondissement,75,48.893444,2.344396,7333.333333333333,2023
145000.0,99.0,Maison,Saint-Brieuc,22,48.518205,-2.778947,1464.6464646464647,2023
197410.0,40.0,Appartement,Aytré,17,46.135157,-1.134186,4935.25,2023
137000.0,35.0,Appartement,Harfleur,76,49.507869,0.2013,3914.285714285714,2023
1000000.0,98.0,Maison,Marseille 8E Arrondissement,13,43.240712,5.381047,10204.081632653062,2023
210000.0,50.0,Maison,Argentières,77,48.653507,2.868046,4200.0,2023
56000.0,18.0,Appartement,Viuz-En-Sallaz,74,46.181127,6.441236,3111.1111111111113,2023
43500.0,21.0,Appartement,Barcelonnette,04,44.38479,6.643712,2071.4285714285716,2023
200000.0,113.0,Maison,Taillecourt,25,47.495401,6.843547,1769.9115044247787,2023
68000.0,61.0,Appartement,Gaël,35,48.134743,-2.222498,1114.7540983606557,2023
60000.0,38.0,Maison,Toulouges,66,42.670901,2.830501,1578.9473684210527,2023
150000.0,100.0,Maison,Le Mesnil-Villement,14,48.850412,-0.367578,1500.0,2023
560000.0,173.0,Maison,L'Haÿ-Les-Roses,94,48.772699,2.326846,3236.9942196531792,2023
292800.0,100.0,Maison,Le Breuil-En-Bessin,14,49.24885,-0.862641,2928.0,2023
186450.0,86.0,Maison,Plabennec,29,48.505263,-4.422034,2168.0232558139537,2023
230000.0,66.0,Appartement,Asnières-Sur-Seine,92,48.926734,2.275746,3484.848484848485,2023
111000.0,85.0,Maison,Capdenac-Gare,12,44.567592,2.074654,1305.8823529411766,2023
100000.0,72.0,Appartement,Lorient,56,47.750268,-3.35976,1388.888888888889,2023
